str(conv.column_name),data_type,example_value,non_null_pct
cus_occupation_code,StringType(),"[""100209"",""100259"",""100600"",""100843"",""100620""]",43.43696650071852
cus_marital_status_code,StringType(),"[""0"",""A"",""1"",""2"",""8""]",88.77725429987505
cus_gender_code,StringType(),"[""F"",""M"",""C"",""S"",""U""]",98.17354544185271
customer_id,StringType(),"[""HK_FWD-23993044"",""HK_FWD-29386639"",""HK_FWD-34741640"",""HK_FWD-11516549"",""HK_FWD-11780357""]",100
source_customer_id,StringType(),"[""33314651"",""35280808"",""13649083"",""40129880"",""14707741""]",100
unified_customer_id,StringType(),"[""0700523329858"",""0700110282944"",""0700111286051"",""0700310848026"",""0700110216391""]",99.99964716906095
cus_age_eligible_flag,StringType(),"[""1"",""N"",""Y""]",75.13071126180913
cus_annual_income_range,StringType(),"[""0""]",3.29594501482646
cus_birth_date,DateType(),"[""java.util.GregorianCalendar[time=?,areFieldsSet=false,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Etc/UTC\"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=?,YEAR=1970,MONTH=0,WEEK_OF_YEAR=?,WEEK_OF_MONTH=?,DAY_OF_MONTH=1,DAY_OF_YEAR=?,DAY_OF_WEEK=?,DAY_OF_WEEK_IN_MONTH=?,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=?,ZONE_OFFSET=?,DST_OFFSET=?]"",""java.util.GregorianCalendar[time=?,areFieldsSet=false,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Etc/UTC\"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=?,YEAR=1961,MONTH=2,WEEK_OF_YEAR=?,WEEK_OF_MONTH=?,DAY_OF_MONTH=14,DAY_OF_YEAR=?,DAY_OF_WEEK=?,DAY_OF_WEEK_IN_MONTH=?,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=?,ZONE_OFFSET=?,DST_OFFSET=?]"",""java.util.GregorianCalendar[time=?,areFieldsSet=false,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Etc/UTC\"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=?,YEAR=1970,MONTH=8,WEEK_OF_YEAR=?,WEEK_OF_MONTH=?,DAY_OF_MONTH=14,DAY_OF_YEAR=?,DAY_OF_WEEK=?,DAY_OF_WEEK_IN_MONTH=?,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=?,ZONE_OFFSET=?,DST_OFFSET=?]"",""java.util.GregorianCalendar[time=?,areFieldsSet=false,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Etc/UTC\"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=?,YEAR=2001,MONTH=9,WEEK_OF_YEAR=?,WEEK_OF_MONTH=?,DAY_OF_MONTH=23,DAY_OF_YEAR=?,DAY_OF_WEEK=?,DAY_OF_WEEK_IN_MONTH=?,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=?,ZONE_OFFSET=?,DST_OFFSET=?]"",""java.util.GregorianCalendar[time=?,areFieldsSet=false,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id=\""Etc/UTC\"",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=?,YEAR=2000,MONTH=5,WEEK_OF_YEAR=?,WEEK_OF_MONTH=?,DAY_OF_MONTH=23,DAY_OF_YEAR=?,DAY_OF_WEEK=?,DAY_OF_WEEK_IN_MONTH=?,AM_PM=0,HOUR=0,HOUR_OF_DAY=0,MINUTE=0,SECOND=0,MILLISECOND=?,ZONE_OFFSET=?,DST_OFFSET=?]""]",66.29068329743698
cus_birth_place,StringType(),"[""HJ"",""NA"",""VN"",""BE"",""UA""]",32.87587962013213
cus_black_list_flag,StringType(),"[""N"",""Y""]",48.52206680299382
cus_status_code,StringType(),"[""C"",""1"",""I"",""A""]",62.042800409082275
cus_type_code,StringType(),"[""AG"",""CL"",""PC""]",99.99899191160274
cus_decease_flag,StringType(),"[""N"",""Y""]",100
cus_driver_licence_num,StringType(),"[""Q7YqngoaHMY1nlySFt90qw==""]",0.9745190536267745
cus_education_level_code,StringType(),"[""0""]",3.29594501482646
cus_email_address,StringType(),"[""ZCeHMWDZwzFIJD5SeXVbS0yNPIeaBVfw1sc+VI5eqKw="",""nvnTbHqhVrG3+fpabPaWjiSbmmK7rT5OtXAxHD8mi64="",""AfUm+o27T/glh/nI/i+zHFHPlRT1Q+ot+ivSxRgGhVY="",""igPzJGS/RyuD8jkoAhEH4jsXP09RJvL6fEHCy3OmNGI="",""rngc5w2lAHjpmpcLB8YcTbbSu2ayNrCaVLrPYHNnhPE=""]",25.6047900328284
cus_first_name,StringType(),"[""uwlDvU4ON/AVMoScy96Vvw=="",""cBEu8xBSqO4azjC2G5AQcQ=="",""Qpax9aQCAKvWer+lEX9RsHs9nTtyELXczoOpPa+Crr4="",""BgtexXV3P3+uCDYoL8FtDg=="",""gJ2xdOsbfY42om7vg9+9lA==""]",94.36528990354105
cus_full_name,StringType(),"[""9Oxrq7n68P1l26DvxflJ/A==""]",0.00005040441986276893
