str(conv.column_name),data_type,example_value,non_null_pct
source_policy_id,StringType(),"[""84743397"",""H9945984"",""25094694"",""31011607"",""11348275""]",100
source_product_id,StringType(),"[""HIF1"",""H15H"",""UN31"",""UKG4"",""UWL601""]",99.84474005391742
pol_premium_status_code,StringType(),"[""VB"",""RD"",""WP"",""DH"",""CF""]",98.01303253936601
pol_billing_frequency_code,StringType(),"[""01"",""12"",""02"",""00""]",99.236669835339
pol_billing_method_code,StringType(),"[""PPS"",""CARD"",""EPAY"",""FPS"",""CASH""]",89.04296599724717
pol_status_code,StringType(),"[""3"",""C"",""1"",""2"",""5""]",100
pol_source_channel_code,StringType(),"[""WMD"",""GAA"",""CDC"",""BKF"",""TMB""]",98.32415218023648
pol_currency_code,StringType(),"[""RMB"",""CAD"",""USD"",""EUR"",""AUD""]",100
policy_id,StringType(),"[""HK_FWD-13009011"",""HK_FWD-21314301"",""HK_FWD-11264759"",""HK_FWD-U163001824"",""HK_FWD-28027063""]",100
main_policy_owner_id,StringType(),"[""HK_FWD-17334147"",""HK_FWD-37153391"",""HK_FWD-24251813"",""HK_FWD-13453596"",""HK_FWD-19622592""]",99.84129149886198
payor_id,StringType(),"[""HK_FWD-17334147"",""HK_FWD-37153391"",""HK_FWD-24251813"",""HK_FWD-13453596"",""HK_FWD-19622592""]",99.84129149886198
servicing_agent_id,StringType(),"[""HK_FWD-49807"",""HK_FWD-32133"",""HK_FWD-76023"",""HK_FWD-39295"",""HK_FWD-13913""]",99.18973949914985
source_servicing_agent_id,StringType(),"[""100738"",""43253"",""28829"",""32598"",""26595""]",99.18973949914985
source_main_policy_owner_id,StringType(),"[""22402459"",""37475822"",""39361150"",""34628430"",""18004044""]",99.84129149886198
source_payor_id,StringType(),"[""22402459"",""37475822"",""39361150"",""34628430"",""18004044""]",99.84129149886198
unified_main_policy_owner_id,StringType(),"[""0700523329858"",""0700110639511"",""0700111286051"",""0700110914104"",""0700110039785""]",99.84054181298036
unified_payor_id,StringType(),"[""0700523329858"",""0700110639511"",""0700111286051"",""0700110914104"",""0700110039785""]",99.84054181298036
